"DRXFDCD","DRXFCSD","DRXFCLD",
"53410850.0","COBBLER, PEAR","Cobbler, pear",
"53410860.0","COBBLER, PINEAPPLE","Cobbler, pineapple",
"53410880.0","COBBLER, PLUM","Cobbler, plum",
"53410900.0","COBBLER, RHUBARB","Cobbler, rhubarb",
"53415100.0","CRISP, APPLE, APPLE DESSERT","Crisp, apple, apple dessert",
"53415120.0","FRITTER, APPLE","Fritter, apple",
"53415200.0","FRITTER, BANANA","Fritter, banana",
"53415220.0","FRITTER, BERRY","Fritter, berry",
"53415300.0","CRISP, BLUEBERRY","Crisp, blueberry",
"53415400.0","CRISP, CHERRY","Crisp, cherry",
"53415500.0","CRISP, PEACH","Crisp, peach",
"53415600.0","CRISP, RHUBARB","Crisp, rhubarb",
"53420000.0","CREAM PUFF/ECLAIR, CUSTARD/CREAM-FILLED, NS ICING","Cream puff, eclair, custard or cream filled, NS as to icing",
"53420100.0","CREAM PUFF/ECLAIR, CUSTARD/CREAM-FILLED, NOT ICED","Cream puff, eclair, custard or cream filled, not iced",
"53420200.0","CREAM PUFF/ECLAIR, CUSTARD/CREAM-FILLED, ICED","Cream puff, eclair, custard or cream filled, iced",
"53420210.0","CREAM PUFF/ECLAIR, CUSTARD/CREAM-FILLED, ICED, REDUCED FAT","Cream puff, eclair, custard or cream filled, iced, reduced fat",
"53420250.0","CREAM PUFFS, NO FILLING OR ICING","Cream puff, no filling or icing",
"53420300.0","AIR-FILLED FRITTER, W/O SYRUP, PUERTO RICAN STYLE","Air filled fritter or fried puff, without syrup, Puerto Rican style (Bunuelos de viento)",
"53420310.0","WHEAT FLOUR FRITTER, W/O SYRUP","Wheat flour fritter, without syrup",
"53420400.0","SOPAIPILLA W/O SYRUP OR HONEY","Sopaipilla, without syrup or honey",
"53420410.0","SOPAIPILLA W/ SYRUP OR HONEY","Sopaipilla with syrup or honey",
"53430000.0","CREPE, DESSERT TYPE, NS AS TO FILLING","Crepe, dessert type, NS as to filling",
"53430100.0","CREPE, DESSERT TYPE, CHOCOLATE-FILLED","Crepe, dessert type, chocolate-filled",
"53430200.0","CREPE, DESSERT TYPE, FRUIT-FILLED","Crepe, dessert type, fruit-filled",
"53430250.0","CREPE SUZETTE","Crepe suzette",
"53430300.0","CREPE, DESSERT TYPE, ICE CREAM-FILLED","Crepe, dessert type, ice cream-filled",
"53430700.0","TAMALE, SWEET","Tamale, sweet",
"53430750.0","TAMALE, SWEET, W/ FRUIT","Tamale, sweet, with fruit",
"53440000.0","STRUDEL, APPLE (INCLUDE STRUDEL, NFS)","Strudel, apple",
"53440300.0","STRUDEL, BERRY","Strudel, berry",
"53440500.0","STRUDEL, CHERRY","Strudel, cherry",
"53440600.0","STRUDEL, CHEESE","Strudel, cheese",
"53440700.0","STRUDEL, PEACH","Strudel, peach",
"53440750.0","STRUDEL, PINEAPPLE","Strudel, pineapple",
"53440800.0","STRUDEL, CHEESE & FRUIT","Strudel, cheese and fruit",
"53441110.0","BAKLAVA (INCLUDE KADAYIF)","Baklava",
"53441210.0","BASBOUSA (SEMOLINA DESSERT DISH)","Basbousa (semolina dessert dish)",
"53450000.0","TURNOVER OR DUMPLING, APPLE","Turnover or dumpling, apple",
"53450300.0","TURNOVER OR DUMPLING, BERRY","Turnover or dumpling, berry",
"53450500.0","TURNOVER OR DUMPLING, CHERRY","Turnover or dumpling, cherry",
"53450800.0","TURNOVER OR DUMPLING, LEMON","Turnover or dumpling, lemon",
"53451000.0","TURNOVER OR DUMPLING, PEACH","Turnover or dumpling, peach",
"53451500.0","TURNOVER, GUAVA","Turnover, guava",
"53451750.0","TURNOVER, PUMPKIN","Turnover, pumpkin",
"53452100.0","PASTRY, FRUIT-FILLED","Pastry, fruit-filled",
"53452120.0","PASTRY, ASIAN, MADE WITH BEAN OR LOTUS SEED PASTE FILLING","Pastry, Asian, made with bean or lotus seed paste filling (baked)",
"53452130.0","PASTRY, ASIAN, MADE WITH BEAN PASTE AND SALTED EGG YOLK FILL","Pastry, Asian, made with bean paste and salted egg yolk filling (baked)",
"53452150.0","PASTRY, CHINESE (INCLUDE 9-LAYER PUDDING)","Pastry, Chinese, made with rice flour",
"53452170.0","PASTRY, COOKIE TYPE, FRIED(INCL POLISH PACZKI)","Pastry, cookie type, fried",
"53452200.0","PASTRY, ITALIAN, W/ CHEESE (INCLUDE CANNOLI)","Pastry, Italian, with cheese",
"53452400.0","PASTRY, PUFF","Pastry, puff",
"53452420.0","PASTRY, PUFF, CUSTARD/CREAM FILLED, ICED/NOT ICED","Pastry, puff, custard or cream filled, iced or not iced",
"53452450.0","CHEESE PASTRY PUFF","Cheese pastry puffs",
"53452500.0","PASTRY, MAINLY  FLOUR & WATER, FRIED","Pastry, mainly flour and water, fried",
"53453150.0","EMPANADA, MEXICAN TURNOVER, FRUIT-FILLED","Empanada, Mexican turnover, fruit-filled",
"53453170.0","EMPANADA, MEXICAN TURNOVER, PUMPKIN","Empanada,  Mexican turnover, pumpkin",
"53500100.0","BREAKFAST PASTRY, NFS","Breakfast pastry, NFS",
"53510000.0","DANISH PASTRY, PLAIN/SPICE (INCL W/ ICING)","Danish pastry, plain or spice",
"53510100.0","DANISH PASTRY, W/ FRUIT","Danish pastry, with fruit",
"53511000.0","DANISH PASTRY, W/ CHEESE","Danish pastry, with cheese",
"53520000.0","DOUGHNUT, NS AS TO CAKE OR YEAST","Doughnut, NS as to cake or yeast",
"53520110.0","DOUGHNUT, CAKE TYPE","Doughnut, cake type",
"53520120.0","DOUGHNUT, CHOCOLATE, CAKE TYPE","Doughnut, chocolate, cake type",
"53520140.0","DOUGHNUT, CAKE TYPE, CHOCOLATE COVERED","Doughnut, cake type, chocolate covered",
"53520150.0","DOUGHNUT, CAKE TYPE, CHOCOLATE COVERED, W/ PEANUTS","Doughnut, cake type, chocolate covered, dipped in peanuts",
"53520160.0","DOUGHNUT, CHOCOLATE, CAKE TYPE, WITH CHOCOLATE ICING","Doughnut, chocolate, cake type, with chocolate icing",
"53520200.0","CHURROS (INCL MEXICAN CRUELLERS)","Churros",
"53520500.0","DOUGHNUT, ASIAN","Doughnut, Asian",
"53520600.0","CRULLER, NFS","Cruller, NFS",
"53520700.0","FRENCH CRULLER","French cruller",
"53521100.0","DOUGHNUT, CHOCOLATE, RAISED OR YEAST, WITH CHOCOLATE ICING","Doughnut, chocolate, raised or yeast, with chocolate icing",
"53521110.0","DOUGHNUT, RAISED / YEAST","Doughnut, raised or yeast",
"53521120.0","DOUGHNUT, CHOCOLATE, RAISED OR YEAST","Doughnut, chocolate, raised or yeast",
"53521130.0","DOUGHNUT, RAISED OR YEAST, CHOCOLATE COVERED","Doughnut, raised or yeast, chocolate covered",
"53521140.0","DOUGHNUT, JELLY","Doughnut, jelly",
"53521210.0","DOUGHNUT, CUSTARD-FILLED","Doughnut, custard-filled",
"53521220.0","DOUGHNUT, CHOCOLATE CREAM-FILLED","Doughnut, chocolate cream-filled",
"53521230.0","DOUGHNUT, CUSTARD-FILLED, WITH ICING","Doughnut, custard-filled, with icing",
"53530000.0","BREAKFAST TART","Breakfast tart",
"53530010.0","BREAKFAST TART, LOWFAT","Breakfast tart, lowfat",
"53610100.0","COFFEE CAKE, CRUMB OR QUICK-BREAD TYPE","Coffee cake, crumb or quick-bread type",
"53610170.0","COFFEE CAKE, CRUMB OR QUICK-BREAD TYPE, W/ FRUIT","Coffee cake, crumb or quick-bread type, with fruit",
"53610200.0","COFFEECAKE, CRUMB OR QUICK-BREAD TYPE, CHEESE FILLD","Coffee cake, crumb or quick-bread type, cheese-filled",
"53710400.0","FIBER ONE CHEWY BAR","Fiber One Chewy Bar",
"53710500.0","KELLOGG'S NUTRI-GRAIN CEREAL BAR","Kellogg's Nutri-Grain Cereal Bar",
"53710502.0","KELLOGG'S NUTRI-GRAIN YOGURT BAR","Kellogg's Nutri-Grain Yogurt Bar",
"53710504.0","KELLOGG'S NUTRI-GRAIN FRUIT AND NUT BAR","Kellogg's Nutri-Grain Fruit and Nut Bar",
"53710600.0","MILK 'N CEREAL BAR","Milk 'n Cereal bar",
"53710700.0","KELLOGG'S SPECIAL K BAR","Kellogg's Special K bar",
"53710800.0","KASHI GOLEAN CHEWY BARS","Kashi GOLEAN Chewy Bars",
"53710802.0","KASHI TLC CHEWY GRANOLA BAR","Kashi TLC Chewy Granola Bar",
"53710804.0","KASHI GOLEAN CRUNCHY BARS","Kashi GOLEAN Crunchy Bars",
"53710806.0","KASHI TLC CRUNCHY GRANOLA BAR","Kashi TLC Crunchy Granola Bar",
"53710900.0","NATURE VALLEY CHEWY TRAIL MIX GRANOLA BAR","Nature Valley Chewy Trail Mix Granola Bar",
"53710902.0","NATURE VALLEY CHEWY GRANOLA BAR WITH YOGURT COATING","Nature Valley Chewy Granola Bar with Yogurt Coating",
"53710904.0","NATURE VALLEY SWEET AND SALTY GRANOLA BAR","Nature Valley Sweet and Salty Granola Bar",
"53710906.0","NATURE VALLEY CRUNCHY GRANOLA BAR","Nature Valley Crunchy Granola Bar",
"53711000.0","QUAKER CHEWY GRANOLA BAR","Quaker Chewy Granola Bar",
"53711002.0","QUAKER CHEWY 90 CALORIE GRANOLA BAR","Quaker Chewy 90 Calorie Granola Bar",
"53711004.0","QUAKER CHEWY 25% LESS SUGAR GRANOLA BAR","Quaker Chewy 25% Less Sugar Granola Bar",
"53711006.0","QUAKER CHEWY DIPPS GRANOLA BAR","Quaker Chewy Dipps Granola Bar",
"53711100.0","QUAKER GRANOLA BITES","Quaker Granola Bites",
"53712000.0","SNACK BAR, OATMEAL","Snack bar, oatmeal",
"53712100.0","GRANOLA BAR, NFS","Granola bar, NFS",
"53712200.0","GRANOLA BAR, LOWFAT, NFS","Granola bar, lowfat, NFS",
"53712210.0","GRANOLA BAR, NONFAT","Granola bar, nonfat",
"53713000.0","GRANOLA BAR, REDUCED SUGAR, NFS","Granola bar, reduced sugar, NFS",
"53713100.0","GRANOLA BAR, PEANUTS , OATS, SUGAR, WHEAT GERM","Granola bar, peanuts , oats, sugar, wheat germ",
"53714200.0","GRANOLA BAR, CHOCOLATE-COATED, NFS","Granola bar, chocolate-coated, NFS",
"53714210.0","GRANOLA BAR, WITH COCONUT, CHOCOLATE-COATED","Granola bar, with coconut, chocolate-coated",
"53714220.0","GRANOLA BAR WITH NUTS, CHOCOLATE-COATED","Granola bar with nuts, chocolate-coated",
"53714230.0","GRANOLA BAR, OATS, NUTS, COATED WITH NON-CHOCOLATE COATING","Granola bar, oats, nuts, coated with non-chocolate coating",
"53714250.0","GRANOLA BAR, COATED WITH NON-CHOCOLATE COATING","Granola bar, coated with non-chocolate coating",
"53714300.0","GRANOLA BAR, HIGH FIBER, COATED W/ NON-CHOC YOGURT COATING","Granola bar, high fiber, coated with non-chocolate yogurt coating",
"53714400.0","GRANOLA BAR, WITH RICE CEREAL","Granola bar, with rice cereal",
"53714500.0","BREAKFAST BAR, NFS","Breakfast bar, NFS",
"53714510.0","BREAKFAST BAR, DATE, WITH YOGURT COATING","Breakfast bar, date, with yogurt coating",
"53714520.0","BREAKFAST BAR, CEREAL CRUST WITH FRUIT FILLING, LOWFAT","Breakfast bar, cereal crust with fruit filling, lowfat",
"53720100.0","BALANCE ORIGINAL BAR","Balance Original Bar",
"53720200.0","CLIF BAR","Clif Bar",
"53720210.0","CLIF KIDS ORGANIC ZBAR","Clif Kids Organic Zbar",
"53720300.0","POWERBAR","PowerBar",
"53720400.0","SLIM FAST ORIGINAL MEAL BAR","Slim Fast Original Meal Bar",
"53720500.0","SNICKERS MARATHON PROTEIN BAR","Snickers Marathon Protein bar",
"53720600.0","SOUTH BEACH LIVING MEAL BAR","South Beach Living Meal Bar",
"53720610.0","SOUTH BEACH LIVING HIGH PROTEIN BAR","South Beach Living High Protein Bar",
"53720700.0","TIGER'S MILK BAR","Tiger's Milk bar",
"53720800.0","ZONE PERFECT CLASSIC CRUNCH NUTRITION BAR","Zone Perfect Classic Crunch nutrition bar",
"53729000.0","NUTRITION BAR OR MEAL REPLACEMENT BAR, NFS","Nutrition bar or meal replacement bar, NFS",
"53801000.0","CEREAL BAR WITH FRUIT FILLING, BABY FOOD","Cereal bar with fruit filling, baby food",
"53803050.0","COOKIE, FRUIT, BABY FOOD","Cookie, fruit, baby food",
"53803100.0","COOKIE, BABY FOOD","Cookie, baby food",
"53803250.0","COOKIE, TEETHING, BABY","Cookie, teething, baby",
"53803300.0","COOKIE, RICE, BABY","Cookie, rice, baby",
"54001000.0","CRACKER, NS AS TO SWEET/NONSWEET (INCL CRACKER,NFS)","Crackers, NS as to sweet or nonsweet",
"54102010.0","CRACKERS, GRAHAM","Crackers, graham",
"54102020.0","CRACKERS, GRAHAM, CHOCOLATE COVERED","Crackers, graham, chocolate covered",
"54102050.0","CRACKERS, OATMEAL","Crackers, oatmeal",
"54102060.0","CRACKERS, CUBAN","Crackers, Cuban",
"54102070.0","CRACKERS, CUCA","Crackers, Cuca",
"54102080.0","CRACKERS, GRAHAM, W/ RAISINS","Crackers, graham, with raisins",
"54102100.0","CRACKERS, GRAHAM, LOWFAT","Crackers, graham, lowfat",
"54102110.0","CRACKERS, GRAHAM, FAT FREE","Crackers, graham, fat free",
"54102200.0","CRACKERS, GRAHAM, SANDWICH-TYPE, WITH FILLING","Crackers, graham, sandwich-type, with filling",
"54201010.0","CRACKERS, MATZO, LOW SODIUM","Crackers, matzo, low sodium",
"54202010.0","CRACKERS, SALTINE, LOW SODIUM","Crackers, saltine, low sodium",
"54203010.0","CRACKERS, TOAST THINS (RYE/WHEAT/WHITE), LOW SODIUM","Crackers, toast thins (rye, wheat, white flour), low sodium",
"54204010.0","CRACKER, 100% WHOLE WHEAT,LO SODIUM","Cracker, 100% whole wheat, low sodium",
"54205010.0","CRACKER, SNACK, LOW SODIUM","Cracker, snack, low sodium",
"54205100.0","CRACKER, SNACK, RED FAT, RED SODIUM","Cracker, snack, reduced fat, reduced sodium",
"54206010.0","PUFFED RICE CAKE W/O SALT","Puffed rice cake without salt",
"54210010.0","CRACKER, MULTIGRAIN, LOW SODIUM","Cracker, multigrain, low sodium",
"54301000.0","CRACKER, SNACK","Cracker, snack",
"54301100.0","CRACKER, SNACK, REDUCED FAT","Cracker, snack, reduced fat",
"54301200.0","CRACKER, SNACK, FAT FREE","Cracker, snack, fat free",
"54304000.0","CRACKERS, CHEESE","Cracker, cheese",
"54304100.0","CRACKER, CHEESE, REDUCED FAT","Cracker, cheese, reduced fat",
"54304150.0","CRACKER, CHEESE, WHOLE GRAIN","Cracker, cheese, whole grain",
"54304500.0","CRACKER, HIGH FIBER, NO ADDED FAT","Cracker, high fiber, no added fat",
"54305000.0","CRISPBREAD, WHEAT, NO ADDED FAT","Crispbread, wheat, no added fat",
"54307000.0","CRACKERS, MATZO","Crackers, matzo",
"54308000.0","CRACKERS, MILK","Crackers, milk",
"54309000.0","CRACKERS, OAT BRAN (INCLUDE NABISCO OAT THINS)","Crackers, oat",
"54313000.0","CRACKERS, OYSTER","Crackers, oyster",
"54318000.0","CHIPS, BROWN RICE","Chips, brown rice",
"54318500.0","RICE CAKE, CRACKER-TYPE","Rice cake, cracker-type",
"54319000.0","CRACKERS, RICE","Crackers, rice",
"54319010.0","PUFFED RICE CAKE","Puffed rice cake",
"54319020.0","POPCORN CAKE (INCL PUFFED CORN & RICE CAKE)","Popcorn cake",
"54319200.0","PUFFED WHEAT CAKE (INCL QUAKER)","Puffed wheat cake",
"54319500.0","RICE PAPER","Rice paper",
"54322000.0","CRISPBREAD, RYE, NO ADDED FAT","Crispbread, rye, no added fat",
"54325000.0","CRACKERS, SALTINES","Crackers, saltine",
"54325010.0","CRACKERS, SALTINE, FAT FREE","Crackers, saltine, fat free",
"54325050.0","CRACKERS, SALTINE, WHOLE WHEAT","Crackers, saltine, whole wheat",
"54326000.0","CRACKERS, MULTIGRAIN","Crackers, multigrain, made with whole wheat, wheat, oat, and other flours",
"54327950.0","CRACKERS, CYLINDRICAL, PEANUT BUTTER-FILLED","Crackers, cylindrical, peanut-butter filled",
"54328000.0","CRACKER, SANDWICH-TYPE, NFS","Crackers, sandwich-type, NFS",
"54328100.0","CRACKER,SANDWICH-TYPE,PEANUT BUTTER FILLED","Cracker, sandwich-type, peanut butter filled",
"54328110.0","CRACKER, SANDWICH, PEANUT BUTTER FILLED, RED FAT","Cracker, sandwich-type, peanut butter filled, reduced fat",
"54328120.0","CRACKER, SANDWICH-TYPE, PEANUT BUTTER FILLED, WHOLE GRAIN","Cracker, sandwich-type, peanut butter filled, whole grain",
"54328200.0","CRACKER,SANDWICH-TYPE, CHEESE-FILLED","Cracker, sandwich-type, cheese-filled",
"54334000.0","CRACKERS, TOAST THINS","Crackers, toast thins (rye, pumpernickel, white flour)",
"54336000.0","CRACKER, WATER BISCUIT","Crackers, water biscuits",
"54337000.0","CRACKER, 100% WHOLE WHEAT","Cracker, 100% whole wheat",
"54337050.0","CRACKER, 100% WHOLE WHEAT, REDUCED FAT","Cracker, 100% whole wheat, reduced fat",
"54338000.0","CRACKERS, WHEAT","Crackers, wheat",
"54338100.0","CRACKERS, WHEAT, REDUCED FAT","Crackers, wheat, reduced fat",
"54339000.0","CRACKER CORN (INCL STONED CORN CRACKER)","Crackers, corn",
"54340100.0","CRACKER, GLUTEN FREE","Cracker, gluten free",
"54350000.0","CRACKERS, BABY FOOD","Crackers, baby food",
"54350010.0","GERBER FINGER FOODS, PUFFS, BABY FOOD","Gerber Finger Foods, Puffs, baby food",
"54350020.0","FINGER FOODS, PUFFS, BABY FOOD","Finger Foods, Puffs, baby food",
"54360000.0","CRUNCHY SNACKS, CORN BASED, BABY FOOD","Crunchy snacks, corn based, baby food",
"54401010.0","SALTY SNACKS, CORN / CORNMEAL BASE, NUT /NUG, TSTD","Salty snacks, corn or cornmeal base, nuts or nuggets, toasted",
"54401020.0","SALTY SNACKS, CORN OR CORNMEAL, CORN CHIPS, CHEESE","Salty snacks, corn or cornmeal base, corn chips, corn-cheese chips",
"54401050.0","SALTY SNACKS, CORN OR CORNMEAL, CORN PUFFS, TWISTS","Salty snacks, corn or cornmeal base, corn puffs and twists; corn-cheese puffs and twists",
"54401080.0","SALTY SNACKS, CORN OR CORNMEAL, TORTILLA CHIPS","Salty snacks, corn or cornmeal base, tortilla chips",
"54401090.0","SALTY SNACKS, CORN/CORN-CHEESE CHIPS, UNSALTED","Salty snacks, corn or cornmeal base, corn chips, corn-cheese chips, unsalted",
"54401100.0","SALTY SNACKS,CORN / CORNMEAL BASE,TORTILLA CHIPS LT","Salty snacks, corn or cornmeal base, tortilla chips, light (baked with less oil)",
"54401120.0","SALTY SNACKS, TORTILLA CHIPS, FAT FREE, W/ OLEAN","Salty snacks, corn or cornmeal base, tortilla chips, fat free, made with Olean",
"54401150.0","SALTY SNACKS,CORN/CORNMEAL BASE,TORTILLA,LOWFAT,BKD","Salty snacks, corn or cornmeal base, tortilla chips, lowfat, baked without fat",
"54401170.0","SALTY SNACKS,CORN/CORNMEAL,TORTILLA,LOWFAT,BKD,NO SALT","Salty snacks, corn or cornmeal base, tortilla chips, lowfat, baked without fat, unsalted",
"54401200.0","SALTY SNACKS, CORN/CORNML BASE,W/OAT BRAN,TORT CHPS","Salty snacks, corn or cornmeal base, with oat bran, tortilla chips",
"54401210.0","SALTY SNACKS, CORN BASED/CHEESE PUFFS & TWISTS, LOWFAT","Salty snacks, corn based puffs and twists, cheese puffs and twists, lowfat",
"54402080.0","TORTILLA CHIPS, UNSALTED","Salty snacks, corn or cornmeal base, tortilla chips, unsalted",
"54402200.0","SALTY SNACK MIXTURE,MOSTLY CORN,W/PRETZELS,W/O NUTS","Salty snack mixture, mostly corn or cornmeal based, with pretzels, without nuts",
"54402300.0","SALTY SNACKS, WHEAT-BASE, HIGH FIBER","Salty snacks, wheat-based, high fiber",
"54402500.0","SALTY SNACKS, WHEAT-AND CORN-BASED CHIPS","Salty snacks, wheat- and corn-based chips",
"54402600.0","SALTY SNACKS, MULTIGRAIN, WHOLE GRAIN, CHIPS","Salty snacks, multigrain, whole grain, chips (made with whole corn, whole wheat, rice flour, and whole oat flour)",
"54402610.0","SALTY SNACKS, MULTIGRAIN& POT CHIPS(W/RICE FL,POT,CORN FL)","Salty snacks, multigrain and potato chips (made with rice flour, dried potatoes, corn flour, and wheat starch)",
"54402700.0","PITA CHIPS","Pita chips",
"54403000.0","POPCORN, POPPED IN OIL, UNBUTTERED","Popcorn, popped in oil, unbuttered",
"54403010.0","POPCORN, AIR-POPPED (NO BUTTER OR OIL ADDED)","Popcorn, air-popped (no butter or no oil added)",
"54403020.0","POPCORN, POPPED IN OIL, BUTTERED","Popcorn, popped in oil, buttered",
"54403040.0","POPCORN, AIR-POPPED, BUTTERED","Popcorn, air-popped, buttered",
"54403050.0","POPCORN, FLAVORED (CHEESE, BBQ, SOUR CREAM, ONION)","Popcorn, flavored",
"54403060.0","POPCORN, POPPED IN OIL, LOWFAT, RED SODIUM","Popcorn, popped in oil, lowfat, reduced sodium",
"54403070.0","POPCORN, POPPED IN OIL, LOWFAT","Popcorn, popped in oil, lowfat",
"54403090.0","POPCORN, POPPED IN OIL, UNSALTED","Popcorn, popped in oil, unsalted",
"54403110.0","POPCORN, SUGAR SYRUP OR CARAMEL COATED","Popcorn, sugar syrup or caramel-coated",
"54403120.0","POPCORN, SUGAR SYRUP OR CARAMEL COATED, W/ NUTS","Popcorn, sugar syrup or caramel-coated, with nuts",
"54403150.0","POPCORN, SUGAR SYRUP/CARAMEL COATED, FAT FREE","Popcorn, sugar syrup or caramel-coated, fat free",
"54406010.0","SNACKS, ONION-FLAVORED RINGS","Snacks, onion-flavored rings",
"54406200.0","SHRIMP CHIPS","Shrimp chips (tapioca base)",
"54408000.0","PRETZELS, NFS","Pretzels, NFS",
"54408010.0","PRETZELS, HARD","Pretzels, hard",
"54408020.0","PRETZELS, SOFT","Pretzels, soft",
"54408030.0","PRETZELS, HARD, UNSALTED","Pretzel, hard, unsalted",
"54408040.0","PRETZELS, SOFT, UNSALTED","Pretzels, soft, unsalted",
"54408050.0","PRETZEL, OAT BRAN, HARD","Pretzel, oatbran, hard",
"54408070.0","PRETZEL, HARD, MULTIGRAIN","Pretzel, hard, multigrain",
"54408080.0","PRETZEL, GLUTEN FREE","Pretzel, gluten free",
"54408100.0","PRETZEL, BABY FOOD","Pretzel, baby food",
"54408200.0","PRETZEL, HARD, CHOCOLATE COATED","Pretzel, hard, chocolate-coated",
"54408250.0","PRETZEL, YOGURT COVERED","Pretzel, yogurt-covered",
"54408300.0","PRETZELS, CHEESE-FILLED (INCL COMBOS)","Pretzels, cheese-filled",
"54420010.0","MULTIGRAIN MIXTURE, PRETZELS, CEREAL &/ CRACKERS,NUTS","Multigrain mixture, pretzels, cereal and/or crackers, nuts",
"54420100.0","ORIENTAL PARTY MIX, W/ PEANUTS, SESAME STICKS, ETC","Oriental party mix, with peanuts, sesame sticks, chili rice crackers and fried green peas",
"54420200.0","MULTIGRAIN MIX, BREAD STICKS, SESAME NUGGETS, PRETZ","Multigrain mixture, bread sticks, sesame nuggets, pretzels, rye chips",
"54440010.0","BAGEL CHIP","Bagel chip",
"55101000.0","PANCAKES, PLAIN (INCLUDE PANCAKES, NFS)","Pancakes, plain",
"55101010.0","PANCAKES, REDUCED CALORIE, HIGH FIBER","Pancakes, reduced calorie, high fiber",
"55101015.0","PANCAKES, PLAIN, REDUCED FAT","Pancakes, plain, reduced fat",
"55101020.0","PANCAKES, PLAIN, FAT FREE","Pancakes, plain, fat free",
"55103000.0","PANCAKES, W/ FRUIT (INCLUDE BLUEBERRY PANCAKES)","Pancakes, with fruit",
"55103100.0","PANCAKES W/ CHOC CHIPS","Pancakes, with chocolate chips",
"55105000.0","PANCAKES, BUCKWHEAT","Pancakes, buckwheat",
"55105100.0","PANCAKES, CORNMEAL","Pancakes, cornmeal",
"55105200.0","PANCAKES, WHOLE WHEAT","Pancakes, whole wheat",
"55105205.0","PANCAKES, WHOLE WHEAT, REDUCED FAT","Pancakes, whole wheat, reduced fat",
"55105210.0","PANCAKES, WHOLE WHEAT, FAT FREE","Pancakes, whole wheat, fat free",
"55105300.0","PANCAKES, SOURDOUGH","Pancakes, sour dough",
"55105400.0","PANCAKES, RYE","Pancakes, rye",
"55106000.0","PANCAKES, GLUTEN FREE","Pancakes, gluten free",
"55201000.0","WAFFLE, PLAIN","Waffle, plain",
"55202000.0","WAFFLE, WHEAT, BRAN, OR MULTIGRAIN","Waffle, wheat, bran, or multigrain",
"55203000.0","WAFFLE, FRUIT","Waffle, fruit",
"55203500.0","WAFFLE, NUT & HONEY (INCL EGGO)","Waffle, nut and honey",
"55203600.0","WAFFLE, CHOCOLATE CHIP","Waffle, chocolate chip",
"55204000.0","WAFFLE, CORNMEAL","Waffle, cornmeal",
"55205000.0","WAFFLE, WHOLE WHEAT OR WHOLE GRAIN","Waffle, whole wheat or whole grain",
"55206000.0","WAFFLE, OAT BRAN","Waffle, oat bran",
"55207000.0","WAFFLE, MULTI-BRAN (INCLUDE EGGO NUTRIGRAIN)","Waffle, multi-bran",
"55208000.0","WAFFLE, GLUTEN FREE","Waffle, gluten free",
"55211000.0","WAFFLE, PLAIN, FAT FREE","Waffle, plain, fat free",
"55211050.0","WAFFLE, PLAIN, LOWFAT","Waffle, plain, lowfat",
"55212000.0","WAFFLE, WHOLE WHEAT, LOWFAT","Waffle, whole wheat, lowfat",
"55301000.0","FRENCH TOAST, PLAIN (INCLUDE ROMAN MEAL)","French toast, plain",
"55301050.0","FRENCH TOAST STICKS, PLAIN","French toast sticks, plain",
"55310100.0","BREAD FRITTERS, P.R.","Bread fritters, Puerto Rican style (Torrejas gallegas, Galician fritters)",
"55401000.0","CREPE, PLAIN (INCLUDE FRENCH PANCAKE)","Crepe, plain",
"55501000.0","FLOUR & WATER PATTY (INCLUDE CHINESE PANCAKE)","Flour and water patty",
"55502000.0","FLOUR AND WATER GRAVY","Flour and water gravy",
"55610200.0","DUMPLING, FRIED, PUERTO RICAN STYLE","Dumpling, fried, Puerto Rican style",
"55610300.0","DUMPLING, PLAIN","Dumpling, plain",
"55701000.0","CAKE MADE W/ GLUTINOUS RICE","Cake made with glutinous rice",
"55702000.0","CAKE OR PANCAKE MADE W/ RICE FLOUR &/OR DRIED BEANS","Cake or pancake made with rice flour and/or dried beans",
"55702100.0","DOSA (INDIAN)","Dosa (Indian), plain",
"55703000.0","CAKE MADE W/ GLUTINOUS RICE & DRIED BEANS","Cake made with glutinous rice and dried beans",
"55801000.0","FUNNEL CAKE WITH SUGAR","Funnel cake with sugar",
"55801010.0","FUNNEL CAKE WITH SUGAR AND FRUIT","Funnel cake with sugar and fruit",
"56101000.0","MACARONI, COOKED, NS AS TO ADDED FAT","Macaroni, cooked, NS as to fat added in cooking",
"56101010.0","MACARONI, COOKED, NO FAT ADDED","Macaroni, cooked, fat not added in cooking",
"56101030.0","MACARONI, COOKED, FAT ADDED","Macaroni, cooked, fat added in cooking",
"56102000.0","MACARONI, WHOLE WHEAT, COOKED, NS AS TO ADDED FAT","Macaroni, whole wheat, cooked, NS as to fat added in cooking",
"56102010.0","MACARONI, WHOLE WHEAT, NO FAT ADDED","Macaroni, whole wheat, cooked, fat not added in cooking",
"56102020.0","MACARONI, WHOLE WHEAT, FAT ADDED","Macaroni, whole wheat, cooked, fat added in cooking",
"56103000.0","MACARONI, SPINACH, NS AS TO ADDED FAT","Macaroni, cooked, spinach, NS as to fat added in cooking",
"56103010.0","MACARONI, SPINACH, NO FAT ADDED","Macaroni, cooked, spinach, fat not added in cooking",
"56103020.0","MACARONI, SPINACH, FAT ADDED","Macaroni, cooked, spinach, fat added in cooking",
